SPECIES,SPECIESclade,SPECIESclade2,SPECIESclade3,POP,IND,IND2,Latitud,Longitud,Nota
C_boryana,C_boryana,C_boryana,C_boryana,POP15,C24ME24_2,C24ME24_02,-21.042179,55.351437,
C_boryana,C_boryana,C_boryana,C_boryana,POP15,C24ME24_3,C24ME24_03,-21.04215,55.351162,
C_boryana,C_boryana,C_boryana,C_boryana,POP15,C24ME24_4,C24ME24_04,-21.042134,55.351115,
C_boryana,C_boryana,C_boryana,C_boryana,POP15,C24ME24_5,C24ME24_05,-21.042134,55.351115,
C_boryana,C_boryana,C_boryana,C_boryana,POP16,C25ME24_9,C25ME24_09,-21.121573,55.484265,
C_boryana,C_boryana,C_boryana,C_boryana,POP16,C25ME24_1,C25ME24_01,-21.121478,55.484354,
C_boryana,C_boryana,C_boryana,C_boryana,POP16,C25ME24_2,C25ME24_02,-21.121148,55.484876,
C_boryana,C_boryana,C_boryana,C_boryana,POP16,C25ME24_8,C25ME24_08,-21.120736,55.48445,
C_boryana,C_boryana,C_boryana,C_boryana,POP16,C43JMC17,C43JMC17,-21.120703,55.484794,
C_boryana,C_boryana,C_boryana,C_boryana,POP16,C25ME24_7,C25ME24_07,-21.120401,55.484497,
C_boryana,C_boryana,C_boryana,C_boryana,POP16,C25ME24_6,C25ME24_06,-21.120055,55.48437,
C_boryana,C_boryana,C_boryana,C_boryana,POP16,C25ME24_5,C25ME24_05,-21.119981,55.484587,
C_boryana,C_boryana,C_boryana,C_boryana,POP16,C25ME24_4,C25ME24_04,-21.119759,55.484608,
C_boryana,C_boryana,C_boryana,C_boryana,POP16,C25ME24_3,C25ME24_03,-21.119559,55.484956,
C_boryana,C_boryana,hybrid,hybrid,POP17,C26ME24_10,C26ME24_10,-20.958984,55.439358,
C_boryana,C_boryana,C_boryana,hybrid,POP17,C26ME24_9,C26ME24_09,-20.958676,55.439134,
C_boryana,C_boryana,C_boryana,hybrid,POP17,C26ME24_7,C26ME24_07,-20.958654,55.439286,
C_boryana,C_boryana,C_boryana,hybrid,POP17,C26ME24_8,C26ME24_08,-20.958652,55.439245,
C_boryana,C_boryana,C_boryana,hybrid,POP17,C26ME24_6,C26ME24_06,-20.958472,55.439147,
C_boryana,C_boryana,C_boryana,hybrid,POP17,C26ME24_5,C26ME24_05,-20.957959,55.438656,
C_boryana,C_boryana,C_boryana,hybrid,POP17,C26ME24_4,C26ME24_04,-20.957541,55.438403,
C_boryana,C_boryana,C_boryana,hybrid,POP17,C26ME24_3,C26ME24_03,-20.957491,55.43839,
C_boryana,C_boryana,C_boryana,hybrid,POP17,C26ME24_2,C26ME24_02,-20.957318,55.438388,
C_boryana,C_boryana,C_boryana,hybrid,POP17,C26ME24_1,C26ME24_01,-20.956529,55.438354,
C_boryana,C_boryana,C_boryana,C_boryana,POP18,C14JMC17,C14JMC17,-21.073075,55.351236,
C_boryana,C_boryana,C_boryana,hybrid,POP19,C16JMC17_1,C16JMC17_1,-21.059458,55.372594,
hybrid,C_borbonica,C_borbonica,hybrid,POP19,C16JMC17_2,C16JMC17_2,-21.059458,55.372594,
hybrid,C_borbonica,hybrid,hybrid,POP20,C18JMC17,C18JMC17,-21.083614,55.387986,
hybrid,C_borbonica,C_borbonica,C_borbonica,POP21,C19JMC17,C19JMC17,-21.084744,55.394014,
hybrid,C_borbonica,C_borbonica,C_borbonica,POP22,C21JMC17,C21JMC17,-21.086703,55.391525,
C_boryana,C_boryana,C_boryana,C_boryana,POP23,C24JMC17_B,C24JMC17_B,-21.185308,55.432839,
C_boryana,C_boryana,C_boryana,C_boryana,POP23,C24JMC17_C,C24JMC17_C,-21.185308,55.432839,
